date,open,close,high,low
12/2/2020 16:56:00,111401.76,111878.53,112315.42,110579.16
12/3/2020 16:56:00,111873.88,112291.59,113377.33,111873.88
12/4/2020 16:56:00,112293.77,113750.22,113863.73,112293.76
12/7/2020 16:56:00,113750.5,113589.77,114531.04,112629.18
12/8/2020 16:56:00,113589.77,113793.06,114381.14,112820.31
12/9/2020 16:56:00,113798.53,113001.16,114020.4,112566.73
12/10/2020 16:56:00,113002.26,115128.63,115261.71,112731.76
12/11/2020 16:56:00,115127.74,115128,115526.57,113949.39
12/14/2020 16:56:00,115136.91,114611.12,115740.1,114431
12/15/2020 16:56:00,114613.42,116148.63,116389.82,114613.42
12/16/2020 16:56:00,116148.97,117857.35,118178.44,115495.75
12/17/2020 16:56:00,117863.58,118400.57,119027.05,117856.26
12/18/2020 16:56:00,118395.23,118023.67,119370.48,117638.24
12/21/2020 16:56:00,118020.94,115822.57,118020.94,114730.05
12/22/2020 16:56:00,115824.66,116636.18,116902.54,115648.34
12/23/2020 16:56:00,116636.18,117806.85,118311.44,116636.18
12/28/2020 16:56:00,117805.56,119123.7,119212.79,117804.95
12/29/2020 16:56:00,119130.06,119409.15,119860.91,118750.1
12/30/2020 16:56:00,119409.85,119017.24,120149.85,118919.43
1/4/2021 16:56:00,119024.29,118854.71,120353.81,118061.77
1/5/2021 16:56:00,118834.88,119376.21,119790.06,116756.08
1/6/2021 16:56:00,119376.91,119100.08,120924.32,118916.94
1/7/2021 16:56:00,119103.07,122385.92,122696.64,119100.76
1/8/2021 16:56:00,122387.43,125076.63,125323.53,122385.76
1/11/2021 16:56:00,125075.18,123255.13,125075.18,122505.58
1/12/2021 19:30:00,123255.13,123998,124584.33,123227.47
1/13/2021 16:56:00,123996.2,121933.08,124031.68,121015.6
1/14/2021 16:56:00,121946.67,123480.52,123896.35,121946.67
1/15/2021 16:56:00,123471.59,120348.8,123471.59,120185.13
1/18/2021 16:56:00,120351.43,121241.63,122585.82,120351.43
1/19/2021 16:56:00,121249.84,120636.39,122120.24,119257.03
1/20/2021 16:56:00,120644.5,119646.4,121449.1,118739.87
1/21/2021 16:56:00,119628.41,118328.99,120242.86,117785.13
1/22/2021 16:56:00,118317.52,117380.49,118317.52,116108.9
1/26/2021 16:56:00,117380.89,116464.06,119167.14,116109.1
1/27/2021 16:56:00,116463.45,115882.3,117839.79,114886.51
1/28/2021 16:56:00,115882.3,118883.25,119355.23,115733.6
1/29/2021 16:56:00,118879.9,115067.55,118879.9,114973
2/1/2021 16:56:00,115093.16,117517.57,117861.51,115093.16
2/2/2021 16:56:00,117520.36,118233.81,119805.18,117519.17
